params,mean_test_accuracy,mean_test_recall,mean_test_precision,mean_test_f1
"{'C': 1.2000000000000002, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.2000000000000002, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 1.2000000000000002, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7911111111111111,0.8284126984126985,0.8032562466772994
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.8099999999999999,0.791111111111111,0.8128427128427129,0.7992063492063493
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 1.2000000000000002, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7911111111111111,0.8284126984126985,0.8032562466772994
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8099999999999999,0.791111111111111,0.8128427128427129,0.7992063492063493
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 1.2000000000000002, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7911111111111111,0.8284126984126985,0.8032562466772994
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.82,0.791111111111111,0.8350649350649351,0.8096638655462185
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8099999999999999,0.7911111111111111,0.8061904761904761,0.7938995215311004
"{'C': 1.4000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.77,0.7711111111111112,0.7545726495726495,0.7583793242697536
